,AGEP,CITWP,DDRS
1349,0,,
1350,19,,2.0
1351,57,,2.0
1352,51,,2.0
1353,15,,2.0
1354,10,,2.0
1355,40,,2.0
1356,59,,2.0
1357,41,,2.0
1358,41,,2.0
1359,6,,2.0
1360,4,,
1361,43,,2.0
1362,42,,2.0
1363,55,,2.0
1364,57,,2.0
1365,26,,2.0
1366,63,,2.0
1367,80,,2.0
1368,28,,2.0
1369,18,,2.0
1370,57,,2.0
1371,23,,2.0
1372,34,,2.0
1373,36,,2.0
1374,16,,2.0
1375,11,,2.0
1376,8,,2.0
1377,5,,2.0
1378,31,,2.0
1379,33,,2.0
1380,37,,2.0
1381,12,,2.0
1382,10,,2.0
1383,1,,
1384,23,,2.0
1385,64,,1.0
1386,55,,1.0
1387,54,,2.0
1388,27,,2.0
1389,25,,2.0
1390,60,,2.0
1391,57,,2.0
1392,13,,2.0
1393,24,,2.0
1394,24,2007.0,2.0
1395,77,,2.0
1396,81,,2.0
1397,56,,2.0
1398,50,,2.0
1399,14,,2.0
1400,73,,2.0
1401,73,,2.0
1402,77,,2.0
1403,68,,2.0
1404,58,,2.0
1405,54,,2.0
1406,66,,2.0
1407,61,,2.0
1408,73,1972.0,2.0
1409,38,,2.0
1410,15,,2.0
1411,15,,2.0
1412,66,,2.0
1413,62,,2.0
1414,30,,2.0
1415,31,,2.0
1416,10,,2.0
1417,1,,
1418,0,,
1419,41,,2.0
1420,59,,2.0
1421,50,,2.0
1422,53,,2.0
1423,48,,2.0
1424,56,,2.0
1425,52,,2.0
1426,20,,2.0
1427,17,,2.0
1428,61,,2.0
1429,77,,2.0
1430,69,,2.0
1431,36,,2.0
1432,29,,2.0
1433,58,,2.0
1434,61,,2.0
1435,60,,2.0
1436,25,,2.0
1437,22,,2.0
1438,22,,2.0
1439,39,,2.0
1440,34,,2.0
1441,6,,2.0
1442,3,,
1443,0,,
1444,79,,2.0
1445,51,,2.0
1446,53,,2.0
1447,65,1952.0,2.0
1448,65,,2.0
1449,46,,2.0
1450,16,,2.0
1451,46,1994.0,2.0
1452,54,1994.0,2.0
1453,19,1994.0,2.0
1454,51,,2.0
1455,49,,2.0
1456,18,,1.0
1457,48,,2.0
1458,53,,2.0
1459,17,,2.0
1460,13,,2.0
1461,9,,2.0
1462,78,,2.0
1463,78,,2.0
1464,52,,2.0
1465,48,,2.0
1466,6,,2.0
1467,24,,2.0
1468,59,,2.0
1469,58,,2.0
1470,48,,2.0
1471,21,,2.0
1472,23,,2.0
1473,2,,
1474,73,,2.0
1475,70,,2.0
1476,46,,2.0
1477,47,,2.0
1478,75,,1.0
1479,72,1991.0,2.0
1480,33,,2.0
1481,31,,2.0
1482,2,,
1483,62,,2.0
1484,57,,2.0
1485,34,,2.0
1486,85,,2.0
1487,12,,2.0
1488,58,,2.0
1489,64,,2.0
1490,28,,2.0
1491,33,,2.0
1492,38,,2.0
1493,17,,2.0
1494,16,,2.0
1495,30,,2.0
1496,30,,2.0
1497,0,,
1498,25,,2.0
1499,57,,2.0
1500,25,,2.0
1501,60,,2.0
1502,54,,2.0
1503,50,,2.0
1504,43,,2.0
1505,15,,2.0
1506,39,,2.0
1507,35,,2.0
1508,16,,2.0
1509,12,,2.0
