,ADJINC,PWGTP,AGEP,CIT,CITWP
776,1056030,3,60,1,
777,1056030,3,61,1,
778,1056030,46,50,1,
779,1056030,77,50,1,
780,1056030,10,52,1,
781,1056030,11,51,1,
782,1056030,23,72,1,
783,1056030,23,68,1,
784,1056030,22,49,1,
785,1056030,18,57,1,
786,1056030,16,46,1,
787,1056030,25,66,1,
788,1056030,22,66,1,
789,1056030,12,44,1,
790,1056030,11,59,1,
791,1056030,10,16,1,
792,1056030,12,13,1,
793,1056030,16,52,1,
794,1056030,15,65,1,
795,1056030,10,65,1,
796,1056030,14,60,1,
797,1056030,16,24,1,
798,1056030,21,26,1,
799,1056030,23,0,1,
800,1056030,23,25,1,
801,1056030,23,25,1,
802,1056030,19,5,1,
803,1056030,16,1,1,
804,1056030,23,50,1,
805,1056030,22,50,1,
806,1056030,4,19,1,
807,1056030,21,70,1,
808,1056030,40,93,1,
809,1056030,28,79,1,
810,1056030,38,77,1,
811,1056030,15,70,1,
812,1056030,22,63,1,
813,1056030,16,18,1,
814,1056030,17,58,1,
815,1056030,14,59,1,
816,1056030,15,58,1,
817,1056030,16,59,1,
818,1056030,43,32,1,
819,1056030,31,27,1,
820,1056030,41,4,1,
821,1056030,14,42,1,
822,1056030,23,18,1,
823,1056030,15,23,1,
824,1056030,16,28,1,
825,1056030,12,27,1,
826,1056030,20,21,1,
827,1056030,11,55,1,
828,1056030,14,57,1,
829,1056030,5,55,1,
830,1056030,5,55,1,
831,1056030,7,28,1,
832,1056030,6,21,1,
833,1056030,7,16,1,
834,1056030,14,56,1,
835,1056030,14,54,1,
836,1056030,129,32,1,
837,1056030,116,32,1,
838,1056030,27,52,1,
839,1056030,15,48,1,
840,1056030,16,82,1,
841,1056030,16,48,1,
842,1056030,27,28,1,
843,1056030,43,79,1,
844,1056030,13,80,1,
845,1056030,5,76,1,
846,1056030,4,76,1,
847,1056030,4,42,1,
848,1056030,11,42,1,
849,1056030,18,42,1,
850,1056030,26,19,1,
851,1056030,4,30,1,
852,1056030,3,34,5,
853,1056030,4,1,1,
854,1056030,4,0,1,
855,1056030,31,68,1,
856,1056030,33,67,1,
857,1056030,29,39,1,
858,1056030,30,39,1,
859,1056030,34,15,1,
860,1056030,27,13,1,
861,1056030,25,11,1,
862,1056030,27,8,1,
863,1056030,26,5,1,
864,1056030,17,39,1,
865,1056030,17,8,1,
866,1056030,10,39,1,
867,1056030,18,15,1,
868,1056030,6,12,1,
869,1056030,6,8,1,
870,1056030,3,70,1,
871,1056030,2,70,1,
872,1056030,1,46,1,
873,1056030,1,14,1,
874,1056030,1,13,1,
875,1056030,3,61,1,
876,1056030,25,38,5,
877,1056030,14,33,1,
878,1056030,16,11,1,
879,1056030,24,7,1,
880,1056030,21,3,1,
881,1056030,27,63,1,
882,1056030,19,59,1,
883,1056030,13,81,1,
884,1056030,10,49,1,
885,1056030,30,23,1,
886,1056030,38,43,1,
887,1056030,33,46,1,
888,1056030,39,24,1,
889,1056030,39,22,1,
890,1056030,25,75,1,
891,1056030,19,73,1,
892,1056030,6,55,1,
893,1056030,3,89,1,
894,1056030,19,70,1,
895,1056030,31,65,1,
896,1056030,67,16,1,
897,1056030,32,40,1,
898,1056030,19,22,1,
899,1056030,3,66,1,
900,1056030,2,32,1,
901,1056030,2,32,1,
902,1056030,2,12,1,
903,1056030,2,8,1,
904,1056030,2,6,1,
905,1056030,3,5,1,
906,1056030,3,4,1,
907,1056030,3,2,1,
908,1056030,2,0,1,
909,1056030,16,72,1,
910,1056030,14,70,1,
911,1056030,31,28,1,
912,1056030,25,29,1,
913,1056030,43,46,1,
914,1056030,68,66,1,
915,1056030,71,65,1,
916,1056030,19,51,1,
917,1056030,21,48,1,
918,1056030,17,21,1,
919,1056030,19,17,1,
920,1056030,10,29,1,
921,1056030,10,47,1,
922,1056030,11,47,1,
923,1056030,24,56,1,
924,1056030,26,58,1,
925,1056030,6,51,1,
926,1056030,5,53,1,
927,1056030,1,58,1,
928,1056030,34,68,1,
929,1056030,27,63,1,
930,1056030,7,35,1,
931,1056030,17,34,1,
932,1056030,9,14,1,
933,1056030,10,11,1,
934,1056030,9,8,1,
935,1056030,10,6,1,
