,AGEP
2552,33
2553,9
2554,7
2555,4
2556,1
2557,36
2558,34
2559,14
2560,12
2561,10
2562,8
2563,48
2564,47
2565,20
2566,16
2567,67
2568,33
2569,33
2570,3
2571,1
2572,65
2573,19
2574,61
2575,63
2576,67
2577,67
2578,58
2579,5
2580,13
2581,44
2582,23
2583,65
2584,62
2585,72
2586,73
2587,82
2588,93
2589,19
2590,18
2591,0
2592,23
2593,35
2594,61
2595,50
2596,66
2597,68
2598,48
2599,52
2600,47
2601,55
2602,48
2603,12
2604,5
2605,64
2606,28
2607,45
2608,16
2609,52
2610,62
2611,66
2612,51
2613,60
2614,74
2615,81
2616,45
2617,48
2618,16
2619,15
2620,10
2621,53
2622,50
2623,58
2624,28
2625,23
2626,41
2627,10
2628,6
2629,3
2630,87
2631,93
2632,52
2633,88
2634,73
2635,30
2636,27
2637,7
2638,2
2639,0
2640,81
2641,79
2642,93
2643,55
2644,57
2645,70
2646,65
2647,28
2648,60
2649,62
2650,87
2651,73
2652,32
2653,30
2654,2
2655,82
2656,84
2657,84
2658,49
2659,54
2660,55
2661,69
2662,72
2663,48
2664,28
2665,27
2666,4
2667,3
2668,0
2669,63
2670,65
2671,22
2672,24
2673,50
2674,21
2675,16
2676,62
2677,71
2678,64
2679,55
2680,49
2681,49
2682,18
2683,59
2684,93
2685,54
2686,74
2687,72
2688,54
2689,59
2690,38
2691,4
2692,40
2693,13
2694,38
2695,56
2696,57
2697,30
2698,77
2699,86
2700,19
2701,59
2702,53
2703,31
2704,77
2705,19
2706,22
2707,30
2708,27
2709,23
2710,23
2711,39
2712,40
2713,12
2714,3
2715,78
2716,82
2717,37
2718,12
2719,33
2720,72
2721,75
2722,85
2723,21
2724,18
2725,19
2726,60
2727,58
2728,54
2729,65
2730,54
2731,53
2732,40
2733,13
2734,32
2735,19
2736,54
2737,13
2738,12
2739,11
2740,63
2741,60
2742,38
2743,18
2744,17
2745,18
2746,48
2747,65
2748,65
2749,52
2750,46
2751,21
2752,18
2753,14
2754,76
2755,19
2756,57
2757,57
2758,80
2759,80
2760,49
2761,48
2762,68
2763,70
2764,56
2765,62
2766,69
2767,61
2768,9
2769,69
2770,52
2771,13
2772,58
2773,54
2774,43
2775,38
2776,20
2777,18
2778,16
2779,16
2780,14
2781,11
2782,11
2783,54
2784,51
2785,72
2786,38
2787,60
2788,52
2789,48
2790,57
2791,56
2792,23
2793,49
2794,46
2795,29
2796,29
2797,4
2798,2
2799,27
2800,31
2801,3
2802,0
2803,52
2804,73
2805,74
2806,55
2807,49
2808,43
2809,16
2810,80
2811,60
2812,28
2813,35
2814,2
2815,0
2816,93
2817,62
2818,54
2819,71
2820,47
2821,20
2822,48
2823,87
2824,65
2825,78
2826,56
2827,29
2828,47
2829,36
2830,32
2831,8
2832,77
2833,55
2834,41
2835,33
2836,67
2837,32
2838,52
2839,16
2840,6
2841,22
2842,22
2843,0
2844,71
2845,66
2846,43
2847,37
2848,14
2849,10
2850,9
2851,66
2852,62
2853,62
2854,28
2855,30
2856,12
2857,9
2858,6
2859,49
2860,53
2861,51
2862,53
2863,65
2864,51
2865,40
2866,29
2867,7
2868,2
2869,27
2870,48
2871,50
2872,22
2873,6
2874,56
2875,52
2876,31
2877,58
2878,59
2879,55
2880,68
2881,68
2882,73
2883,52
2884,47
2885,49
2886,48
2887,24
2888,23
2889,20
2890,7
2891,6
2892,56
2893,48
2894,16
2895,20
2896,21
2897,21
2898,82
2899,74
2900,77
2901,60
2902,60
2903,55
2904,45
2905,29
2906,24
2907,50
2908,61
2909,37
2910,36
2911,12
2912,10
2913,7
2914,4
2915,46
2916,45
2917,41
2918,36
2919,12
2920,10
2921,56
2922,29
2923,33
2924,36
2925,13
2926,12
2927,7
2928,59
2929,54
2930,34
2931,36
2932,32
2933,17
2934,16
2935,13
2936,1
2937,10
2938,3
2939,64
2940,58
2941,58
2942,55
2943,63
2944,76
2945,44
2946,50
2947,43
2948,15
2949,50
2950,51
2951,62
2952,62
2953,30
2954,30
2955,5
2956,76
2957,77
2958,48
2959,44
2960,50
2961,24
2962,21
2963,1
2964,36
2965,15
2966,11
2967,64
2968,70
2969,48
2970,57
2971,50
2972,67
2973,64
2974,20
2975,31
2976,23
2977,23
2978,38
2979,36
2980,12
2981,9
2982,6
2983,3
2984,55
2985,82
2986,34
2987,45
2988,6
2989,3
2990,47
2991,20
